,Country,Region_Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
14,Mali,Africa,14.3075095,13.8616746,14.591684,15.761684,15.761684,16.1583586,12.1869574,13.4479885,18.6993643,13.0070159,19.0609789,20.5833878,29.8810848,41.3291298,18.0759079,18.0187718,14.7154403,33.6147791,30.9808076,32.1023347,67.9089443,50.4496897,23.9993607,29.8868254,23.7549967,47.01,55.2863334,48.7988832,86.9439589,42.2867143
15,Mauritania,Africa,0.1729987,0.4700053,0.6169979,0.560003,0.6420021,0.0052162,0.062594,0.2890602,3.3498743,0.101625,0.3907265,10.1725096,8.98708,9.4138642,12.5299158,11.8162333,4.3856735,2.00715,4.0362566,5.3897107,4.1525067,5.134612,5.1540221,9.8592533,6.656026,12.0000002,13.2167197,15.647649,100.2990423,35.1965309
16,Mauritius,Africa,0.9159998,0.7900004,0.8840028,1.5480002,1.779999,1.4460026,1.369002,1.6560041,2.440004,3.1700021,5.6909997,3.2019986,10.1829988,14.178998,6.1348767,7.0114932,7.6778346,7.0219477,6.7728293,9.8282127,6.499312,13.0093879,12.2137409,17.7372211,13.9409747,10.9890533,17.2504889,27.7301155,28.4149365,26.768193
17,Morocco,Africa,359.5060014,334.7379942,384.3160013,343.3469964,365.2859953,334.9830002,376.8760029,451.9109993,459.9870037,444.028005,586.4619995,566.0939965,628.5450019,556.4790012,508.6839093,493.5176264,557.0054583,601.9045545,542.9736537,670.2064396,581.9642561,573.1326957,738.4941622,720.8230681,629.9227117,662.1212065,680.1534944,705.8394551,916.5268869,874.6290975
18,Mozambique,Africa,0.1983254,0.595,0.1983254,0.1983254,0.3966746,0.595,0.7933254,1.3883493,1.1900001,2.1816747,5.206481,0.498024,0.8897312,0.285606,1.6584592,1.9234162,2.0873797,4.0405804,6.0279076,3.887009,3.5145494,5.6846022,2.6667309,7.0563602,10.8374874,8.3002586,12.9315438,16.4774833,7.3447734,11.6386369
19,Namibia,Africa,0.0,0.595,0.595,0.1983254,0.1983254,0.7933254,1.8250146,38.6838497,29.1457136,18.858171,21.241124,17.0362377,15.5067226,20.3797705,41.4146673,35.5927974,36.1817082,21.7719608,22.145683,57.7275557,50.2757047,47.0375488,25.6590707,30.5806803,38.0632079,52.5767633,30.2267725,43.262086,23.707675,25.9885054
20,Niger,Africa,2.2880018,1.0920068,0.7930012,8.9130004,6.0060009,8.6130023,5.4870039,10.2000059,11.1220061,7.1060046,9.4089984,10.5099987,17.4699977,9.6129983,12.9899983,11.3938797,20.9297467,28.9962478,25.7182527,27.6531957,13.2312332,18.9500567,17.8781708,23.7181574,24.0206232,24.9178272,11.7329709,11.3296165,9.1761418,17.187192
21,Sao Tome and Principe,Africa,0.0,0.0019992,0.0050006,0.0189995,0.0100015,0.0070001,0.0380001,0.0150016,0.0100017,0.0419995,0.0,0.002,0.039,0.094,0.003,0.0208772,0.1185867,0.0547105,0.033906,0.2527103,0.0011267,0.0394093,0.1633621,0.2513923,0.2380504,0.1042076,0.1736349,0.2485029,0.1490377,0.2579103
22,Senegal,Africa,63.1690032,53.4719995,54.8610057,34.446004,10.1100012,20.194948,11.1859983,26.7929479,33.1244484,35.9620902,33.7099962,39.2399935,41.2110295,56.9010084,35.3728556,45.7385849,49.7586819,43.5735839,39.6233382,53.6773264,33.1993245,43.4868303,40.9759121,49.6665772,57.752868,83.5065832,156.6753981,161.2159081,152.5273216,125.1968682
23,Seychelles,Africa,0.4190006,0.3169989,0.6989996,0.7650014,0.8330042,0.8930014,0.7490043,1.0670015,0.4969151,0.6976436,1.0063016,0.3738272,0.7041984,0.5404871,0.8052186,0.6761881,0.8189851,1.203681,9.9895232,9.2768761,12.7900443,1.9931841,0.920073,1.3931274,2.0348398,4.3670509,3.7957829,3.8912651,3.7262184,3.9925015
24,Somalia,Africa,8.0000004,0.0310003,0.2709993,0.1449984,0.0519996,0.2800006,0.0,0.0090012,0.0,0.444,0.346684,0.13,1.650024,0.88334,1.143316,4.193316,1.79466,1.406684,2.043344,0.16666,0.106,0.52,1.5629998,1.8780003,0.2030002,1.9660001,1.1590007,0.8214599,1.7503353,4.3847214
25,South Africa,Africa,286.4969987,281.8810006,337.6010044,402.9320041,344.6450075,324.1200035,327.9540001,322.9799995,351.4170243,333.8993778,412.7790371,337.2435532,370.3885441,401.5167279,436.2821243,476.8123229,567.4206901,464.5219726,573.6617411,417.1721186,592.9583555,573.2804218,541.8007371,545.5467638,634.7748902,693.3236144,644.2220819,711.673386,755.8648746,782.7657109
26,Sudan,Africa,55.5010008,130.3019974,103.3329996,69.7670004,71.967,80.3330004,106.617,100.3473587,135.7161524,160.590493,128.5101334,177.7820301,223.6432157,118.6486746,390.484184,399.0986746,362.6496746,500.5225146,579.4941696,564.58834,659.5048031,572.4147001,411.8312282,796.25616,689.7969919,593.8861392,641.3459995,305.275001,704.9268,753.247518
27,Afghanistan,Asia & Oceania,0.2499996,0.2499996,0.2499996,0.2499996,0.2499996,0.2499996,0.866684,2.899976,0.9999996,1.5,2.93334,3.4299906,0.9649814,4.246684,1.126684,2.59,2.009976,3.39666,9.679976,5.706,9.6649971,1.04,4.636684,3.033316,7.7919918,11.5390005,10.681,34.3572819,38.5563674,8.1580436
28,Armenia,Asia & Oceania,0.0,0.0,2.4999996,2.4999996,2.599999,30.6370019,54.2140017,58.7520024,104.3300021,115.9420054,135.7949997,181.5020001,183.4400015,178.8479989,210.5949992,197.6256915,170.9273024,187.7949226,212.0772741,183.8026014,201.3966156,191.4882414,187.8899103,206.6583741,194.1012931,201.3690494,206.6119357,206.5152699,204.603738,229.9700991
29,Australia,Asia & Oceania,745.9059995,788.9779996,850.7320001,802.0130014,843.7929991,808.0929881,844.5679992,898.5679877,928.5739792,976.6139893,921.4200017,898.3439752,1120.5949487,1003.7899743,1004.1940916,1199.5009841,1173.9690607,1197.3464259,1278.6681844,1362.3637139,1513.5354014,1563.9682896,1766.088206,1667.1515212,1680.8754578,1919.6557339,1881.3637721,2078.0502466,2070.8710176,2178.0385863
